source_file,source_sheet,source_row,source_row_end,field,corrected_value,note
2019.xlsx,Ringing Data,5554,,date_raw,22.11.2019,
2019.xlsx,Ringing Data,5633,,date_raw,22.11.2019,
2019.xlsx,Ringing Data,7400,,date_raw,26.11.2019,
2019.xlsx,Ringing Data,7411,,date_raw,26.11.2019,
2019.xlsx,Ringing Data,9068,,date_raw,03.12.2019,
2017.xlsx,Ringing Data,181,,date_raw,14.11.2017,
2017.xlsx,Ringing Data,14838,,ringer_raw,,A ten-primary moult score was entered in RingedBy; clear the non-ringer value.
2017.xlsx,Ringing Data,14838,,primary_scores_raw,5500000000,Move the misplaced ten-primary moult score from RingedBy to the configured primary-score field.
2014.xls,Sheet1,5198,,species_ngulia_raw,3,
2017.xlsx,Ringing Data,243,,species_label_raw,Irinia,Text species should be Irinia; sex=2 indicates the number is correct and the original text label is wrong.
2018.xlsx,Ringing Data,1123,,species_no_raw,607,Species number should be 607; no Little Rush Warbler were ringed that year.
2018.xlsx,Ringing Data,8113,,species_no_raw,603,"Species number should be 603; these are Great Reed Warbler, not Brown Scrub Robin."
2018.xlsx,Ringing Data,9284,,species_no_raw,603,"Species number should be 603; these are Great Reed Warbler, not Brown Scrub Robin."
2018.xlsx,Ringing Data,10776,,species_no_raw,603,"Species number should be 603; these are Great Reed Warbler, not Brown Scrub Robin."
2018.xlsx,Ringing Data,8298,,species_label_raw,Common Whitethroat,Text species should be Common Whitethroat; the presence of molt score strongly supports species number 594.
2018.xlsx,Ringing Data,8013,,species_label_raw,Thrush Nightingale,Species label should match the species number; the numeric code is assumed correct and the text label was likely not updated.
2018.xlsx,Ringing Data,8014,,species_label_raw,Thrush Nightingale,Species label should match the species number; the numeric code is assumed correct and the text label was likely not updated.
2018.xlsx,Ringing Data,9334,,species_no_raw,608,"Species number should be 608; no White-starred Robin were caught, so use the label-backed code 608."
2021.xlsx,Ringing data,3649,,species_no_raw,594,"Species number should be 594; no Stripe-cheeked Greenbul were ringed, so the numeric code is incorrect."
2021.xlsx,Ringing data,3687,,species_no_raw,594,"Species number should be 594; no Stripe-cheeked Greenbul were ringed, so the numeric code is incorrect."
2021.xlsx,Ringing data,3809,,species_no_raw,594,"Species number should be 594; no Stripe-cheeked Greenbul were ringed, so the numeric code is incorrect."
2021.xlsx,Ringing data,4180,,species_no_raw,594,"Species number should be 594; no Stripe-cheeked Greenbul were ringed, so the numeric code is incorrect."
2021.xlsx,Ringing data,3849,,species_no_raw,607,"Species number should be 607; the surrounding entries suggest Excel drag/extrapolation, and neither Sedge Warbler surplus nor Little Rush Warbler is plausible here."
2021.xlsx,Ringing data,3850,,species_no_raw,607,"Species number should be 607; the surrounding entries suggest Excel drag/extrapolation, and neither Sedge Warbler surplus nor Little Rush Warbler is plausible here."
2018.xlsx,Ringing Data,6177,,species_no_raw,0,"Original label Burchell's Courser; not recorded ever, typo of species code number."
2018.xlsx,Ringing Data,6177,,species_label_raw,Unknown,"Original label Burchell's Courser; not recorded ever, typo of species code number."
2018.xlsx,Ringing Data,8581,,species_no_raw,0,"Original label African Darter; not recorded ever, typo of species code number."
2018.xlsx,Ringing Data,8581,,species_label_raw,Unknown,"Original label African Darter; not recorded ever, typo of species code number."
2018.xlsx,Ringing Data,10150,,species_no_raw,0,"Original label African Pygmy Goose; not recorded ever, typo of species code number."
2018.xlsx,Ringing Data,10150,,species_label_raw,Unknown,"Original label African Pygmy Goose; not recorded ever, typo of species code number."
2018.xlsx,Ringing Data,842,,species_no_raw,0,"Original label Grey Heron; not recorded ever, typo of species code number."
2018.xlsx,Ringing Data,842,,species_label_raw,Unknown,"Original label Grey Heron; not recorded ever, typo of species code number."
2018.xlsx,Ringing Data,9673,,species_no_raw,0,"Original label Grey Heron; not recorded ever, typo of species code number."
2018.xlsx,Ringing Data,9673,,species_label_raw,Unknown,"Original label Grey Heron; not recorded ever, typo of species code number."
2018.xlsx,Ringing Data,4491,,species_no_raw,0,"Original label Little Egret; not recorded ever, typo of species code number."
2018.xlsx,Ringing Data,4491,,species_label_raw,Unknown,"Original label Little Egret; not recorded ever, typo of species code number."
2018.xlsx,Ringing Data,5750,,species_no_raw,0,"Original label Little Egret; not recorded ever, typo of species code number."
2018.xlsx,Ringing Data,5750,,species_label_raw,Unknown,"Original label Little Egret; not recorded ever, typo of species code number."
2018.xlsx,Ringing Data,769,,species_no_raw,0,"Original label Wandering Albatross; not recorded ever, typo of species code number."
2018.xlsx,Ringing Data,769,,species_label_raw,Unknown,"Original label Wandering Albatross; not recorded ever, typo of species code number."
2018.xlsx,Ringing Data,10351,,species_no_raw,0,"Original label Wandering Albatross; not recorded ever, typo of species code number."
2018.xlsx,Ringing Data,10351,,species_label_raw,Unknown,"Original label Wandering Albatross; not recorded ever, typo of species code number."
2019.xlsx,Ringing Data,3864,,species_no_raw,0,"Original label Bank Cormorant; not recorded ever, typo of species code number."
2019.xlsx,Ringing Data,3864,,species_label_raw,Unknown,"Original label Bank Cormorant; not recorded ever, typo of species code number."
2019.xlsx,Ringing Data,1387,,species_no_raw,0,"Original label Yellow-billed Egret; not recorded ever, typo of species code number."
2019.xlsx,Ringing Data,1387,,species_label_raw,Unknown,"Original label Yellow-billed Egret; not recorded ever, typo of species code number."
2023.xlsx,2023 Ringing Data ALL books,4537,,species_no_raw,0,"Original label Pearl-breasted Swallow; not recorded ever, typo of species code number."
2023.xlsx,2023 Ringing Data ALL books,4537,,species_label_raw,Unknown,"Original label Pearl-breasted Swallow; not recorded ever, typo of species code number."
1994.xls,94 combined,9463,,species_label_raw,Unknown,"Daily totals imply 24 Marsh, 3 River, 3 Willow, and 14 Whitethroat, but these blank rows cannot be assigned individually."
1994.xls,94 combined,9464,,species_label_raw,Unknown,"Daily totals imply 24 Marsh, 3 River, 3 Willow, and 14 Whitethroat, but these blank rows cannot be assigned individually."
1994.xls,94 combined,9465,,species_label_raw,Unknown,"Daily totals imply 24 Marsh, 3 River, 3 Willow, and 14 Whitethroat, but these blank rows cannot be assigned individually."
1994.xls,94 combined,9466,,species_label_raw,Unknown,"Daily totals imply 24 Marsh, 3 River, 3 Willow, and 14 Whitethroat, but these blank rows cannot be assigned individually."
1994.xls,94 combined,9467,,species_label_raw,Unknown,"Daily totals imply 24 Marsh, 3 River, 3 Willow, and 14 Whitethroat, but these blank rows cannot be assigned individually."
1994.xls,94 combined,9468,,species_label_raw,Unknown,"Daily totals imply 24 Marsh, 3 River, 3 Willow, and 14 Whitethroat, but these blank rows cannot be assigned individually."
1994.xls,94 combined,9469,,species_label_raw,Unknown,"Daily totals imply 24 Marsh, 3 River, 3 Willow, and 14 Whitethroat, but these blank rows cannot be assigned individually."
1994.xls,94 combined,9470,,species_label_raw,Unknown,"Daily totals imply 24 Marsh, 3 River, 3 Willow, and 14 Whitethroat, but these blank rows cannot be assigned individually."
1994.xls,94 combined,9471,,species_label_raw,Unknown,"Daily totals imply 24 Marsh, 3 River, 3 Willow, and 14 Whitethroat, but these blank rows cannot be assigned individually."
1994.xls,94 combined,9472,,species_label_raw,Unknown,"Daily totals imply 24 Marsh, 3 River, 3 Willow, and 14 Whitethroat, but these blank rows cannot be assigned individually."
1994.xls,94 combined,9473,,species_label_raw,Unknown,"Daily totals imply 24 Marsh, 3 River, 3 Willow, and 14 Whitethroat, but these blank rows cannot be assigned individually."
1994.xls,94 combined,9474,,species_label_raw,Unknown,"Daily totals imply 24 Marsh, 3 River, 3 Willow, and 14 Whitethroat, but these blank rows cannot be assigned individually."
1994.xls,94 combined,9475,,species_label_raw,Unknown,"Daily totals imply 24 Marsh, 3 River, 3 Willow, and 14 Whitethroat, but these blank rows cannot be assigned individually."
1994.xls,94 combined,9476,,species_label_raw,Unknown,"Daily totals imply 24 Marsh, 3 River, 3 Willow, and 14 Whitethroat, but these blank rows cannot be assigned individually."
1994.xls,94 combined,9477,,species_label_raw,Unknown,"Daily totals imply 24 Marsh, 3 River, 3 Willow, and 14 Whitethroat, but these blank rows cannot be assigned individually."
1994.xls,94 combined,9478,,species_label_raw,Unknown,"Daily totals imply 24 Marsh, 3 River, 3 Willow, and 14 Whitethroat, but these blank rows cannot be assigned individually."
1994.xls,94 combined,9479,,species_label_raw,Unknown,"Daily totals imply 24 Marsh, 3 River, 3 Willow, and 14 Whitethroat, but these blank rows cannot be assigned individually."
1994.xls,94 combined,9480,,species_label_raw,Unknown,"Daily totals imply 24 Marsh, 3 River, 3 Willow, and 14 Whitethroat, but these blank rows cannot be assigned individually."
1994.xls,94 combined,9481,,species_label_raw,Unknown,"Daily totals imply 24 Marsh, 3 River, 3 Willow, and 14 Whitethroat, but these blank rows cannot be assigned individually."
1994.xls,94 combined,9482,,species_label_raw,Unknown,"Daily totals imply 24 Marsh, 3 River, 3 Willow, and 14 Whitethroat, but these blank rows cannot be assigned individually."
1994.xls,94 combined,9483,,species_label_raw,Unknown,"Daily totals imply 24 Marsh, 3 River, 3 Willow, and 14 Whitethroat, but these blank rows cannot be assigned individually."
1994.xls,94 combined,9484,,species_label_raw,Unknown,"Daily totals imply 24 Marsh, 3 River, 3 Willow, and 14 Whitethroat, but these blank rows cannot be assigned individually."
1994.xls,94 combined,9485,,species_label_raw,Unknown,"Daily totals imply 24 Marsh, 3 River, 3 Willow, and 14 Whitethroat, but these blank rows cannot be assigned individually."
1994.xls,94 combined,9486,,species_label_raw,Unknown,"Daily totals imply 24 Marsh, 3 River, 3 Willow, and 14 Whitethroat, but these blank rows cannot be assigned individually."
1994.xls,94 combined,9487,,species_label_raw,Unknown,"Daily totals imply 24 Marsh, 3 River, 3 Willow, and 14 Whitethroat, but these blank rows cannot be assigned individually."
1994.xls,94 combined,9488,,species_label_raw,Unknown,"Daily totals imply 24 Marsh, 3 River, 3 Willow, and 14 Whitethroat, but these blank rows cannot be assigned individually."
1994.xls,94 combined,9489,,species_label_raw,Unknown,"Daily totals imply 24 Marsh, 3 River, 3 Willow, and 14 Whitethroat, but these blank rows cannot be assigned individually."
1994.xls,94 combined,9490,,species_label_raw,Unknown,"Daily totals imply 24 Marsh, 3 River, 3 Willow, and 14 Whitethroat, but these blank rows cannot be assigned individually."
1994.xls,94 combined,9491,,species_label_raw,Unknown,"Daily totals imply 24 Marsh, 3 River, 3 Willow, and 14 Whitethroat, but these blank rows cannot be assigned individually."
1994.xls,94 combined,9492,,species_label_raw,Unknown,"Daily totals imply 24 Marsh, 3 River, 3 Willow, and 14 Whitethroat, but these blank rows cannot be assigned individually."
1994.xls,94 combined,9493,,species_label_raw,Unknown,"Daily totals imply 24 Marsh, 3 River, 3 Willow, and 14 Whitethroat, but these blank rows cannot be assigned individually."
1994.xls,94 combined,9494,,species_label_raw,Unknown,"Daily totals imply 24 Marsh, 3 River, 3 Willow, and 14 Whitethroat, but these blank rows cannot be assigned individually."
1994.xls,94 combined,9495,,species_label_raw,Unknown,"Daily totals imply 24 Marsh, 3 River, 3 Willow, and 14 Whitethroat, but these blank rows cannot be assigned individually."
1994.xls,94 combined,9496,,species_label_raw,Unknown,"Daily totals imply 24 Marsh, 3 River, 3 Willow, and 14 Whitethroat, but these blank rows cannot be assigned individually."
1994.xls,94 combined,9497,,species_label_raw,Unknown,"Daily totals imply 24 Marsh, 3 River, 3 Willow, and 14 Whitethroat, but these blank rows cannot be assigned individually."
1994.xls,94 combined,9498,,species_label_raw,Unknown,"Daily totals imply 24 Marsh, 3 River, 3 Willow, and 14 Whitethroat, but these blank rows cannot be assigned individually."
1994.xls,94 combined,9499,,species_label_raw,Unknown,"Daily totals imply 24 Marsh, 3 River, 3 Willow, and 14 Whitethroat, but these blank rows cannot be assigned individually."
1994.xls,94 combined,9500,,species_label_raw,Unknown,"Daily totals imply 24 Marsh, 3 River, 3 Willow, and 14 Whitethroat, but these blank rows cannot be assigned individually."
1994.xls,94 combined,9501,,species_label_raw,Unknown,"Daily totals imply 24 Marsh, 3 River, 3 Willow, and 14 Whitethroat, but these blank rows cannot be assigned individually."
1994.xls,94 combined,9502,,species_label_raw,Unknown,"Daily totals imply 24 Marsh, 3 River, 3 Willow, and 14 Whitethroat, but these blank rows cannot be assigned individually."
1994.xls,94 combined,9503,,species_label_raw,Unknown,"Daily totals imply 24 Marsh, 3 River, 3 Willow, and 14 Whitethroat, but these blank rows cannot be assigned individually."
1994.xls,94 combined,9504,,species_label_raw,Unknown,"Daily totals imply 24 Marsh, 3 River, 3 Willow, and 14 Whitethroat, but these blank rows cannot be assigned individually."
1994.xls,94 combined,9505,,species_label_raw,Unknown,"Daily totals imply 24 Marsh, 3 River, 3 Willow, and 14 Whitethroat, but these blank rows cannot be assigned individually."
1995.xls,Sheet1,2204,,species_label_raw,Unknown,"Daily totals imply 24 Marsh, 3 River, 3 Willow, and 14 Whitethroat, but these blank rows cannot be assigned individually."
1995.xls,Sheet1,26142,,sex_raw,F,Remove the stray slash from the female sex code.
1995.xls,Sheet1,28973,,sex_raw,F,Remove the stray slash from the female sex code.
1995.xls,Sheet1,2562,,species_label_raw,Unknown,"Daily totals imply 24 Marsh, 3 River, 3 Willow, and 14 Whitethroat, but these blank rows cannot be assigned individually."
1995.xls,Sheet1,25948,,sex_raw,,Sex field contains a misplaced book value; treat sex as missing.
1995.xls,Sheet1,2880,,species_label_raw,Unknown,"Daily totals imply 24 Marsh, 3 River, 3 Willow, and 14 Whitethroat, but these blank rows cannot be assigned individually."
1995.xls,Sheet1,3282,,species_label_raw,Unknown,"Daily totals imply 24 Marsh, 3 River, 3 Willow, and 14 Whitethroat, but these blank rows cannot be assigned individually."
2009.xls,Sheet1,2636,,species_no_raw,9999,No species information available; treat as lost or destroyed ring.
2009.xls,Sheet1,2846,,species_no_raw,9999,No species information available; treat as lost or destroyed ring.
2009.xls,Sheet1,2882,,species_no_raw,9999,Comment indicates ring unrecorded; no species information available.
2009.xls,Sheet1,3176,,species_no_raw,9999,Comment indicates ring destroyed; no species information available.
2010.xls,Sheet1,15389,,species_ngulia_raw,11,Species number should be Basra Reed Warbler based on biometrics and total count; replace Ngulia code 3 with 11.
2011.xls,Sheet1,10596,,date_raw,41242,Date cell appears truncated as 8; surrounding rows use Excel serial 41242.
2012.xls,Sheet1,1747,,species_ngulia_raw,61,Use Ortolan Bunting; biometrics match the label better than Red-throated Pipit.
2012.xls,Sheet1,1751,,species_ngulia_raw,1,Use Marsh Warbler; biometrics are too small for River Warbler.
2013.xls,Sheet1,5062,,species_ngulia_raw,6,Use White-throated Robin; wing and weight fit the label better than the competing Ngulia code.
2013.xls,Sheet1,13474,,species_ngulia_raw,2,Use Common Whitethroat; biometrics are too small for Marsh Warbler.
2013.xls,Sheet1,17431,,species_ngulia_raw,15,Use Olive-tree Warbler; wing and weight fit the label better than Common Rock Thrush.
1993.xls,1993 All,2650,,wing_raw,,A period in the source wing field is a typo; treat the wing measurement as missing.
1993.xls,1993 All,2852,,note_raw,yakutensis,Text note in AB column; restore to note field.
1993.xls,1993 All,2908,,note_raw,yakutensis,Text note in AB column; restore to note field.
1993.xls,1993 All,2931,,note_raw,yakutensis,Text note in AB column; restore to note field.
1993.xls,1993 All,2964,,note_raw,yakutensis,Text note in AB column; restore to note field.
1993.xls,1993 All,2965,,note_raw,yakutensis,Text note in AB column; restore to note field.
1993.xls,1993 All,2976,,note_raw,yakutensis,Text note in AB column; restore to note field.
1993.xls,1993 All,2984,,note_raw,yakutensis,Text note in AB column; restore to note field.
1993.xls,1993 All,2986,,note_raw,yakutensis,Text note in AB column; restore to note field.
1993.xls,1993 All,4329,,note_raw,6.17 hrs,Time note in AB column; restore to note field.
1993.xls,1993 All,4510,,note_raw,07.23 hrs,Time note in AB column; restore to note field.
1993.xls,1993 All,4557,,note_raw,yakutensis,Text note in moult column; restore to note field.
1993.xls,1993 All,4557,,moult_note_raw,1.1=555005,Remove taxon text from moult note and keep secondary scores only.
1993.xls,1993 All,4766,,note_raw,"nets closed 10,00 hrs",Text note in AB column; restore to note field.
1993.xls,1993 All,4868,,note_raw,Mus. Praha,Text note in AB column; restore to note field.
1993.xls,1993 All,4899,,note_raw,yakutensis,Text note in moult column; restore to note field.
1993.xls,1993 All,4899,,moult_note_raw,1.1=55555,Remove taxon text from moult note and keep secondary scores only.
1993.xls,1993 All,6385,,note_raw,yakutensis,Text note in moult column; restore to note field.
1993.xls,1993 All,6385,,moult_note_raw,1.1=000000,Remove taxon text from moult note and keep secondary scores only.
1993.xls,1993 All,7071,,note_raw,yakutensis,Text note in moult column; restore to note field.
1993.xls,1993 All,7071,,moult_note_raw,,Remove taxon text from moult note.
1993.xls,1993 All,7295,,note_raw,yakutensis,Text note in moult column; restore to note field.
1993.xls,1993 All,7295,,moult_note_raw,1.1=505005,Remove taxon text from moult note and keep secondary scores only.
1993.xls,1993 All,7299,,note_raw,yakutensis,Text note in moult column; restore to note field.
1993.xls,1993 All,7299,,moult_note_raw,,Remove taxon text from moult note.
1993.xls,1993 All,7463,,note_raw,yakutensis,Text note in moult column; restore to note field.
1993.xls,1993 All,7463,,moult_note_raw,,Remove taxon text from moult note.
1993.xls,1993 All,7695,,note_raw,yakutensis,Text note in moult column; restore to note field.
1993.xls,1993 All,7695,,moult_note_raw,1.1=000000,Remove taxon text from moult note and keep secondary scores only.
1993.xls,1993 All,8297,,note_raw,yakutensis,Text note in moult column; restore to note field.
1993.xls,1993 All,8297,,moult_note_raw,1.1=550005,Remove taxon text from moult note and keep secondary scores only.
1993.xls,1993 All,8392,,note_raw,yakutensis,Text note in moult column; restore to note field.
1993.xls,1993 All,8392,,moult_note_raw,1.1=550005,Remove taxon text from moult note and keep secondary scores only.
1993.xls,1993 All,8998,,note_raw,yakutensis,Text note in moult column; restore to note field.
1993.xls,1993 All,8998,,moult_note_raw,,Remove taxon text from moult note.
1993.xls,1993 All,9182,,note_raw,yakutensis,Text note in AB column; restore to note field.
1993.xls,1993 All,9897,,note_raw,yakutensis,Text note in AB column; restore to note field.
1993.xls,1993 All,12269,,note_raw,07.23 hrs,Time note in AB column; restore to note field.
1993.xls,1993 All,12588,,note_raw,2KG98799?,Text note in AB column; restore to note field.
1993.xls,1993 All,14310,,primary_moult_status_raw,,Taxon/form text shifted into primary moult status column; clear moult field.
1993.xls,1993 All,14310,,race_form_raw,phoen.,"Taxon/form text shifted into primary moult status column; restore to race/form."
1993.xls,1993 All,14455,,primary_moult_status_raw,,Taxon/form text shifted into primary moult status column; clear moult field.
1993.xls,1993 All,14455,,race_form_raw,nom/unwini,"Taxon/form text shifted into primary moult status column; restore to race/form."
1993.xls,1993 All,14460,,primary_moult_status_raw,,Taxon/form text shifted into primary moult status column; clear moult field.
1993.xls,1993 All,14460,,race_form_raw,unwini,"Taxon/form text shifted into primary moult status column; restore to race/form."
2015.xls,Sheet1,6843,,species_ngulia_raw,6,Use White-throated Robin; wing and weight fit the label better than the competing Ngulia code.
2015.xls,Sheet1,7212,,species_ngulia_raw,12,Use Barred Warbler; biometrics fit the label better than Common Nightingale.
2015.xls,Sheet1,7283,,species_ngulia_raw,26,Use Isabelline Wheatear; biometrics clearly fit the label.
2017.xlsx,Ringing Data,15987,,wing_raw,120,OCR combined wing with extra decimal text; restored wing.
2017.xlsx,Ringing Data,15987,,weight_raw,13.8,OCR combined wing and weight text; restored weight.
2017.xlsx,Ringing Data,16216,,wing_raw,120,OCR combined wing with extra decimal text; restored wing.
2017.xlsx,Ringing Data,17733,,wing_raw,120,OCR combined wing with extra decimal text; restored wing.
2017.xlsx,Ringing Data,17783,,wing_raw,120,OCR combined wing with extra decimal text; restored wing.
2017.xlsx,Ringing Data,17893,,wing_raw,120,OCR combined wing with extra decimal text; restored wing.
2017.xlsx,Ringing Data,17913,,wing_raw,120,OCR combined wing with extra decimal text; restored wing.
2017.xlsx,Ringing Data,17923,,wing_raw,120,OCR combined wing with extra decimal text; restored wing.
2021.xlsx,Ringing data,5494,,weight_raw,13.2,Removed stray leading backtick from weight value.
1995.xls,Sheet1,6435,,wing_raw,,Sex code landed in wing column; no recoverable wing measurement.
1995.xls,Sheet1,25117,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,25118,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,25119,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,25120,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,25121,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,25122,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,25123,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,25124,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,25125,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,25126,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,25127,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,25128,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,25129,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,25130,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,25131,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,25132,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,25133,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,25134,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,25135,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,25136,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,25137,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,25138,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,25139,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,25140,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,25141,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,25142,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,25143,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,25144,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,25145,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,25146,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,25147,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,25148,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,25149,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,25150,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,25151,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,25152,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,25153,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,25154,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,25155,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,25156,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,25157,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,25158,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,25159,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
1995.xls,Sheet1,25160,,day_raw,17,"Late 23:00 block appears to belong to 17 Dec based on adjacent daily species imbalances."
