start_date,end_date,covariate,value,evidence_class,temporal_scope,source_path,source_page,note,evidence_id,daily_start_date,daily_end_date,daily_values,daily_review
2013-01-01,2013-12-31,light_reliability,circuit_and_cable_failures,annual_report,reported_period,data/02_reference/reports/2013 report.pdf,PDF p. 1,One main lodge circuit failed and cable connections were rearranged; exact dates need extraction before daily use.,OH032,,,,context_only
2013-01-01,2013-12-31,light_configuration,three_lamp_3_5_kw_reference,annual_report,reported_period,data/02_reference/reports/2013 report.pdf,PDF p. 1,Three floodlights assembled using new cables; two new lamps were 1.5 and 1 kW.,OH033,,,,context_only
2014-01-01,2014-12-31,light_configuration,three_lamp_3_5_kw_reference,annual_report,reported_period,data/02_reference/reports/2014 report.pdf,PDF p. 1,Three working lamps were documented as 2 x 1 kW and 1 x 1.5 kW.,OH034,,,,context_only
2015-01-01,2015-12-31,light_configuration,three_lamp_3_5_kw_reference,annual_report,reported_period,data/02_reference/reports/2015 report.pdf,PDF p. 1,The project depended mainly on three halogen lamps providing 3.5 kW in total.,OH035,,,,context_only
2014-01-01,2014-12-31,vegetation_state,open_grass_and_early_net_closure,annual_report,reported_state,data/02_reference/reports/2014 report.pdf,PDF pp. 1–2,Report directly links vegetation loss and sparse cover to lower daytime catch potential.,OH036,,,,context_only
2015-12-06,2015-12-20,session_capacity,small_team_short_december_session,annual_report,reported_session,data/02_reference/reports/2015 report.pdf,PDF p. 1,Availability and planning delays restricted the project to one December session; the lodge was manned 6–20 December and daily team size is not recorded.,OH037,,,,context_only
2015-01-01,2015-12-31,playback,targeted_song_lures_reported,annual_report,reported_period,data/02_reference/reports/2015 report.pdf,PDF p. 1,Textual evidence includes night and hirundine lures; dates species and timing require event-level extraction.,OH038,,,,context_only
2016-01-01,2016-12-31,playback,targeted_song_lures_reported,annual_report,reported_period,"data/02_reference/reports/2016 Report, corrected.pdf",PDF p. 1,Textual evidence includes taped Sprosser and Marsh Warbler songs; exact dates can be extracted in a later event-level pass.,OH039,,,,context_only
2016-11-25,2016-11-25,playback,marsh_and_sprosser_song_from_02_00,field_diary,event_date,data/01_raw/external/ngulia_djp/From DJP 2017/THANKS 2016/Ngulia diary 2016.docx,Diary entry 25 November,The diary records Marsh and Sprosser tapes on from 02:00; use is explicit but the preceding-night date convention should be retained in any daily join.,OH040,2016-11-25,2016-11-25,playback_nocturnal_observed=1;dawn_net_operation=1,reviewed_date
2016-11-28,2016-11-28,net_configuration,two_night_nets_operated_until_04_15,field_diary,event_date,data/01_raw/external/ngulia_djp/From DJP 2017/THANKS 2016/Ngulia diary 2016.docx,Diary entry 28 November,Mist lowered at 01:30; the second night net was erected at 02:00 and both night nets closed at 04:15.,OH041,2016-11-28,2016-11-28,night_net_count=2;night_net_operation=1;dawn_net_operation=1;mist_observation=present_unspecified,reviewed_date
2016-11-29,2016-11-29,net_interruption,rain_repeatedly_interrupted_night_netting,field_diary,event_date,data/01_raw/external/ngulia_djp/From DJP 2017/THANKS 2016/Ngulia diary 2016.docx,Diary entry 29 November,Night nets were closed at 23:45 and 01:00 because of heavy rain and reopened at 00:15 and 01:20 before final closure at 03:20.,OH042,2016-11-29,2016-11-29,net_interruption_observed=1;night_net_operation=1;rain_observed=heavy_rain;mist_observation=present_unspecified,reviewed_date
2016-11-29,2016-11-29,session_capacity,large_dawn_catch_closed_nets_at_09_00,field_diary,event_date,data/01_raw/external/ngulia_djp/From DJP 2017/THANKS 2016/Ngulia diary 2016.docx,Diary entry 29 November,The L and Niko nets closed at 09:00 because of team size and the number of birds; six to eight nets reopened from 11:00.,OH043,2016-11-29,2016-11-29,capacity_interruption_observed=1;dawn_net_operation=1,reviewed_date
2016-11-30,2016-11-30,session_capacity,small_team_curtailed_night_and_dawn_netting,field_diary,event_date,data/01_raw/external/ngulia_djp/From DJP 2017/THANKS 2016/Ngulia diary 2016.docx,Diary entry 30 November,Two night nets were furled at 02:30 because of small team size and catch volume; dawn L and Niko nets closed at 07:30.,OH044,2016-11-30,2016-11-30,capacity_interruption_observed=1;night_net_operation=1;dawn_net_operation=1;night_net_count=2;mist_observation=present_unspecified,reviewed_date
2016-12-01,2016-12-01,net_interruption,rain_prevented_night_net_reopening,field_diary,event_date,data/01_raw/external/ngulia_djp/From DJP 2017/THANKS 2016/Ngulia diary 2016.docx,Diary entry 1 December,A strong westerly wind and persistent rain followed a brief net reopening; night nets were not reopened again and were taken down before dawn.,OH045,2016-12-01,2016-12-01,net_interruption_observed=1;rain_observed=rain_unspecified;night_net_operation=1;dawn_net_operation=1;mist_observation=present_unspecified,reviewed_date
2016-12-03,2016-12-03,net_interruption,rain_interrupted_night_and_swallow_netting,field_diary,event_date,data/01_raw/external/ngulia_djp/From DJP 2017/THANKS 2016/Ngulia diary 2016.docx,Diary entry 3 December,Heavy rain closed night nets at 00:30 before reopening at 01:00; heavy rain also curtailed swallow-net ringing at 10:20.,OH046,2016-12-03,2016-12-03,net_interruption_observed=1;rain_observed=heavy_rain;night_net_operation=1;dawn_net_operation=1;mist_observation=present_unspecified,reviewed_date
2016-12-04,2016-12-04,net_interruption,rain_interrupted_night_netting,field_diary,event_date,data/01_raw/external/ngulia_djp/From DJP 2017/THANKS 2016/Ngulia diary 2016.docx,Diary entry 4 December,Heavy rain closed night nets at 00:30; they reopened at 01:00 and closed at 03:00 after catching slowed.,OH047,2016-12-04,2016-12-04,net_interruption_observed=1;rain_observed=heavy_rain;night_net_operation=1,reviewed_date
2016-12-06,2016-12-06,session_capacity,bush_nets_taken_down_before_final_night,field_diary,event_date,data/01_raw/external/ngulia_djp/From DJP 2017/THANKS 2016/Ngulia diary 2016.docx,Diary entry 6 December,Day nets were taken down after the morning operation; the remaining party used one night net on 7 December.,OH048,2016-12-06,2016-12-06,dawn_net_operation=1;night_net_operation=1;mist_observation=present_unspecified,reviewed_date
2017-01-01,2017-12-31,vegetation_state,partial_regrowth,annual_report,reported_state,data/02_reference/reports/2017 Ngulia RG Autumn 2017 Report.pdf,PDF pp. 1 and 6,No further elephant damage and slow regrowth were reported.,OH049,,,,context_only
2017-01-01,2017-12-31,light_configuration,floodlights_refitted_with_new_bulbs,annual_report,reported_period,data/02_reference/reports/2017 Ngulia RG Autumn 2017 Report.pdf,PDF p. 1,Floodlights were prepared for the session with new bulbs fitted; fixture model spectrum output and nightly availability remain unreported.,OH050,,,,context_only
2018-01-01,2018-12-31,vegetation_state,regenerated_well,annual_report,reported_state,data/02_reference/reports/2018 Ngulia RG Autumn 2018 Report_unlocked.pdf,PDF p. 7,The northern netting bush was reported to have regenerated well.,OH051,,,,context_only
2019-01-01,2019-12-31,vegetation_state,grass_herb_and_small_bush_regeneration,annual_report,reported_state,data/02_reference/reports/2019 Ngulia RG Autumn 2019 Report.pdf,PDF p. 4,Rains supported grass and herb cover plus regeneration of smaller bushes.,OH052,,,,context_only
2020-01-01,2020-12-31,vegetation_state,tall_trees_reduced,annual_report,reported_state,data/02_reference/reports/2020 Ngulia RG Autumn 2020 Report.pdf,PDF p. 2,The report describes opening of formerly thick bush and flattening of tall trees by elephants.,OH053,,,,context_only
2021-12-01,2021-12-10,session_capacity,covid_financially_limited_ten_day_session,annual_report,reported_session,data/02_reference/reports/2021 Ngulia Thanks.pdf,PDF p. 1,"Financial restrictions associated with COVID limited the operation to a ten-day visit, reported as the shortest session since 1969.",OH054,,,,context_only
2023-12-08,2023-12-08,light_interruption,generator_delayed_nets_until_after_midnight,annual_report,event_date,data/02_reference/reports/2023 Ngulia Report.pdf,PDF p. 2,Electricity was restored after midnight before night nets opened.,OH055,2023-12-08,2023-12-08,light_interruption_observed=1;night_net_operation=1;dawn_net_operation=1;mist_observation=present_unspecified,reviewed_date
2023-12-09,2023-12-09,light_interruption,generator_delayed_nets_until_00_45,annual_report,event_date,data/02_reference/reports/2023 Ngulia Report.pdf,PDF p. 2,Night nets opened at 00:45 because of generator problems.,OH056,2023-12-09,2023-12-09,light_interruption_observed=1;night_net_operation=1;dawn_net_operation=1;mist_observation=present_unspecified,reviewed_date
2023-12-10,2023-12-10,light_interruption,generator_delayed_nets_until_02_00,annual_report,event_date,data/02_reference/reports/2023 Ngulia Report.pdf,PDF pp. 2–3,Night nets opened at 02:00 because of the continuing generator problem; rain later curtailed dawn activity.,OH057,2023-12-10,2023-12-10,light_interruption_observed=1;net_interruption_observed=1;night_net_operation=1;dawn_net_operation=1;mist_observation=present_unspecified,reviewed_date
2024-01-01,2024-12-31,vegetation_state,functional_recovery_observed,annual_report,reported_state,data/02_reference/reports/2024 Ngulia Thanks_KWS.pdf,PDF p. 3,Report describes improved ability of habitat to hold migrants.,OH058,,,,context_only
2024-11-24,2024-11-24,net_interruption,night_nets_delayed_and_day_nets_restricted,annual_report,event_date,data/02_reference/reports/2024 Ngulia Thanks_KWS.pdf,PDF p. 1,Hotel guests prevented night nets opening until after midnight; only half the bush nets were initially available and rain closed the remaining nets from 09:00.,OH059,2024-11-24,2024-11-24,net_interruption_observed=1;night_net_operation=1;dawn_net_operation=1;mist_observation=present_unspecified;rain_observed=rain_unspecified,reviewed_date
2024-11-29,2024-11-29,net_interruption,leopard_delayed_and_curtailed_nets,annual_report,event_date,data/02_reference/reports/2024 Ngulia Thanks_KWS.pdf,PDF pp. 2–3,Night netting was curtailed at 02:25 partly because of a leopard near the nets and dawn bush-net opening was delayed by 30 minutes.,OH060,2024-11-29,2024-11-29,net_interruption_observed=1;night_net_operation=1;dawn_net_operation=1;mist_observation=present_unspecified,reviewed_date
2024-11-29,2024-11-29,net_interruption,quelea_forced_early_day_net_closure,annual_report,event_date,data/02_reference/reports/2024 Ngulia Thanks_KWS.pdf,PDF p. 3,Abundant Red-billed Queleas forced early closure of the nets at 10:30.,OH061,2024-11-29,2024-11-29,net_interruption_observed=1;dawn_net_operation=1,reviewed_date
2024-11-30,2024-11-30,net_interruption,rain_interrupted_night_netting,annual_report,event_date,data/02_reference/reports/2024 Ngulia Thanks_KWS.pdf,PDF p. 3,Night nets did not open until 03:00; rain forced closure after one hour and only another 45 minutes of netting was possible before dawn.,OH062,2024-11-30,2024-11-30,net_interruption_observed=1;rain_observed=rain_unspecified;night_net_operation=1;mist_observation=present_unspecified,reviewed_date
2024-12-03,2024-12-03,net_interruption,rain_prevented_night_net_opening,annual_report,event_date,data/02_reference/reports/2024 Ngulia Thanks_KWS.pdf,PDF p. 4,Overnight rain never became light enough for night nets to open; the sole night capture was by hand.,OH063,2024-12-03,2024-12-03,net_interruption_observed=1;night_net_operation=0;rain_observed=rain_unspecified,reviewed_date
2024-01-01,2024-12-31,playback,no_nocturnal_migrant_playback,annual_report,policy_period,data/02_reference/reports/2024 Ngulia Thanks_KWS.pdf,PDF p. 6,Policy statement for nocturnal migrants; targeted diurnal lures remain a distinct exposure.,OH064,,,,context_only
2013-11-27,2013-11-27,playback,night_playback_explicit_despite_blank_workbook,annual_report,event_date,data/02_reference/reports/2013 report.pdf,PDF p. 1,"The night after lamps were assembled on 26 November produced about 40 birds despite taped sound; about 140 at dawn identifies ringing date 27 November (workbook total 184). This overrides workbook blank-to-absence, without inferring speaker location.",OH065,2013-11-27,2013-11-27,playback_nocturnal_observed=1,reviewed_morning_date
2013-11-28,2013-11-28,playback,daytime_swallow_tapes_explicit,annual_report,event_date,data/02_reference/reports/2013 report.pdf,PDF p. 1,Report explicitly describes attempts to attract daytime swallows with tapes after the 27/28 November night.,OH066,2013-11-28,2013-11-28,playback_diurnal_observed=1,reviewed_morning_date
2013-11-29,2013-11-29,light_reliability,two_lamps_after_circuit_failure,annual_report,event_date,data/02_reference/reports/2013 report.pdf,PDF p. 1,Report dates circuit rearrangement to 29 November and states that two lamps were on during night netting; no assumption about duration of the outage.,OH067,2013-11-29,2013-11-29,light_interruption_observed=1;lights_working_count=2,reviewed_morning_date
2013-11-29,2013-11-29,playback,daytime_swallow_tapes_and_nets,annual_report,event_date,data/02_reference/reports/2013 report.pdf,PDF p. 1,138 Barn Swallows caught after attraction to taped sound. Confirms diurnal playback and swallow nets; do not infer nocturnal playback.,OH068,2013-11-29,2013-11-29,"playback_diurnal_observed=1;net_sites_observed=front_bush,outside_night_nets,swallow_nets",reviewed_morning_date
2013-11-30,2013-11-30,light_configuration,three_working_lamps_confirmed_overnight,annual_report,event_date,data/02_reference/reports/2013 report.pdf,PDF p. 1,"Four hours of night catching with all three lamps up and running; this is direct nightly evidence, unlike the earlier assembly event.",OH069,2013-11-30,2013-11-30,lights_working_count=3,reviewed_morning_date
2013-11-30,2013-11-30,playback,daytime_swallow_tapes_and_nets,annual_report,event_date,data/02_reference/reports/2013 report.pdf,PDF pp. 1–2,Swallows attracted again and over 300 ringed during the morning.,OH070,2013-11-30,2013-11-30,"playback_diurnal_observed=1;net_sites_observed=front_bush,outside_night_nets,swallow_nets",reviewed_morning_date
2013-12-13,2013-12-13,session_capacity,final_night_cancelled_clear_sky,annual_report,event_date,data/02_reference/reports/2013 report.pdf,PDF p. 2,Final night session thwarted by clear sky; bush nets had been dismantled the previous morning. Confirms workbook non-operation and its recorded zero.,OH071,2013-12-13,2013-12-13,night_net_operation=0;dawn_net_operation=0;mist_observation=none,reviewed_morning_date
2013-11-26,2013-11-26,weather_observation,moonless_window_m,field_weather_note,event_date,data/01_raw/external/ngulia_djp/From DJP 2017/DAILY AND ANNUAL SUMMARIES/Ngulia Weather Notes.doc,Entry 2013-11-25/2013-11-26,Daily-summary symbols explicitly refer to the moonless night window. Lowercase mist denotes patchy mist; uppercase/lowercase rain denote heavy rain/showers. The case-sensitive symbol is retained as a detailed mist state; rain remains a separate observation.,OH072,2013-11-26,2013-11-26,mist_observation=light_patchy;rain_observed=none,reviewed_morning_date
2013-11-27,2013-11-27,weather_observation,moonless_window_mR,field_weather_note,event_date,data/01_raw/external/ngulia_djp/From DJP 2017/DAILY AND ANNUAL SUMMARIES/Ngulia Weather Notes.doc,Entry 2013-11-26/2013-11-27,Daily-summary symbols explicitly refer to the moonless night window. Lowercase mist denotes patchy mist; uppercase/lowercase rain denote heavy rain/showers. The case-sensitive symbol is retained as a detailed mist state; rain remains a separate observation.,OH073,2013-11-27,2013-11-27,mist_observation=light_patchy;rain_observed=heavy_rain,reviewed_morning_date
2013-11-28,2013-11-28,weather_observation,moonless_window_lR,field_weather_note,event_date,data/01_raw/external/ngulia_djp/From DJP 2017/DAILY AND ANNUAL SUMMARIES/Ngulia Weather Notes.doc,Entry 2013-11-27/2013-11-28,Daily-summary symbols explicitly refer to the moonless night window. Lowercase mist denotes patchy mist; uppercase/lowercase rain denote heavy rain/showers. The case-sensitive symbol is retained as a detailed mist state; rain remains a separate observation.,OH074,2013-11-28,2013-11-28,mist_observation=none;rain_observed=heavy_rain,reviewed_morning_date
2013-11-29,2013-11-29,weather_observation,moonless_window_Mr,field_weather_note,event_date,data/01_raw/external/ngulia_djp/From DJP 2017/DAILY AND ANNUAL SUMMARIES/Ngulia Weather Notes.doc,Entry 2013-11-28/2013-11-29,Daily-summary symbols explicitly refer to the moonless night window. Lowercase mist denotes patchy mist; uppercase/lowercase rain denote heavy rain/showers. The case-sensitive symbol is retained as a detailed mist state; rain remains a separate observation.,OH075,2013-11-29,2013-11-29,mist_observation=good;rain_observed=showers,reviewed_morning_date
2013-11-30,2013-11-30,weather_observation,moonless_window_M,field_weather_note,event_date,data/01_raw/external/ngulia_djp/From DJP 2017/DAILY AND ANNUAL SUMMARIES/Ngulia Weather Notes.doc,Entry 2013-11-29/2013-11-30,Daily-summary symbols explicitly refer to the moonless night window. Lowercase mist denotes patchy mist; uppercase/lowercase rain denote heavy rain/showers. The case-sensitive symbol is retained as a detailed mist state; rain remains a separate observation.,OH076,2013-11-30,2013-11-30,mist_observation=good;rain_observed=none,reviewed_morning_date
2013-12-01,2013-12-01,weather_observation,moonless_window_M,field_weather_note,event_date,data/01_raw/external/ngulia_djp/From DJP 2017/DAILY AND ANNUAL SUMMARIES/Ngulia Weather Notes.doc,Entry 2013-11-30/2013-12-01,Daily-summary symbols explicitly refer to the moonless night window. Lowercase mist denotes patchy mist; uppercase/lowercase rain denote heavy rain/showers. The case-sensitive symbol is retained as a detailed mist state; rain remains a separate observation.,OH077,2013-12-01,2013-12-01,mist_observation=good;rain_observed=none,reviewed_morning_date
2013-12-02,2013-12-02,weather_observation,moonless_window_M,field_weather_note,event_date,data/01_raw/external/ngulia_djp/From DJP 2017/DAILY AND ANNUAL SUMMARIES/Ngulia Weather Notes.doc,Entry 2013-12-01/2013-12-02,Daily-summary symbols explicitly refer to the moonless night window. Lowercase mist denotes patchy mist; uppercase/lowercase rain denote heavy rain/showers. The case-sensitive symbol is retained as a detailed mist state; rain remains a separate observation.,OH078,2013-12-02,2013-12-02,mist_observation=good;rain_observed=none,reviewed_morning_date
2013-12-03,2013-12-03,weather_observation,moonless_window_l,field_weather_note,event_date,data/01_raw/external/ngulia_djp/From DJP 2017/DAILY AND ANNUAL SUMMARIES/Ngulia Weather Notes.doc,Entry 2013-12-02/2013-12-03,Daily-summary symbols explicitly refer to the moonless night window. Lowercase mist denotes patchy mist; uppercase/lowercase rain denote heavy rain/showers. The case-sensitive symbol is retained as a detailed mist state; rain remains a separate observation.,OH079,2013-12-03,2013-12-03,mist_observation=none;rain_observed=none,reviewed_morning_date
